Player,Team,Position,Classification
Damion Lee,PHO,SG,1
T.J. McConnell,IND,PG,2
Drew Eubanks,POR,C,7
Talen Horton-Tucker,UTA,SG,4
Cedi Osman,CLE,SF,6
Chris Boucher,TOR,PF,6
Kevin Love,2TM,PF,6
Seth Curry,BRK,SG,1
Isaiah Hartenstein,NYK,C,8
Cory Joseph,DET,PG,2
AJ Griffin,ATL,SF,5
Georges Niang,PHI,PF,5
Xavier Tillman,MEM,C,7
Anthony Lamb,GSW,SF,4
Jaylen Nowell,MIN,SG,3
Dwight Powell,DAL,C,9
Jordan Nwora,2TM,SF,4
Isaiah Joe,OKC,SG,4
Trendon Watford,POR,PF,6
Jalen Smith,IND,C,7
Josh Okogie,PHO,SG,1
Nick Richards,CHO,C,7
Aaron Wiggins,OKC,SG,4
Naz Reid,MIN,C,9
Devonte' Graham,2TM,PG,3
Thomas Bryant,2TM,C,7
Davion Mitchell,SAC,PG,1
Lamar Stevens,CLE,SF,4
David Roddy,MEM,PF,6
Jordan Goodwin,WAS,PG,1
Dyson Daniels,NOP,PG,3
Tre Mann,OKC,PG,2
Matisse Thybulle,2TM,SF,4
Trey Lyles,SAC,PF,6
Oshae Brissett,IND,PF,6
Isaiah Jackson,IND,C,7
Sam Hauser,BOS,SF,4
Yuta Watanabe,BRK,SF,4
Obi Toppin,NYK,PF,5
Christian Braun,DEN,SG,3
Ish Wainright,PHO,SF,4
Kevin Knox II,2TM,SF,4
Wenyen Gabriel,LAL,C,7
Goran Dragic,2TM,PG,2
Mike Muscala,2TM,C,7
Nickeil Alexander-Walker,2TM,SG,3
